"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Ecuador",7,2016,1051,16385068,0,26197
"El Salvador",7,2016,189,6344722,0,5029
"French Guiana",7,2016,640,283000,NA,167
"Grenada",7,2016,171,107317,2,1559
"Guadeloupe",7,2016,7267,450000,2,1178
"Guatemala",7,2016,530,16582469,2,9608
"Guyana",7,2016,3,773303,0,4760
"Haiti",7,2016,172,10847334,0,37924
"Honduras",7,2016,3623,9112867,8,14838
"Jamaica",7,2016,1327,2881355,38,48190
"Martinique",7,2016,2367,385000,0,1353
"Mexico",7,2016,1206,127540423,6,119786
"Nicaragua",7,2016,2842,6149928,44,15647
"Panama",7,2016,165,4034119,0,12032
"Paraguay",7,2016,10,6725308,NA,4270
"Peru",7,2016,15,31773839,NA,28903
"Puerto Rico",7,2016,7921,3411307,56,120634
"St Barthelemy",7,2016,253,9278,0,19
"St Kitts-Nevis",7,2016,2,54821,NA,2764
"St Lucia",7,2016,0,178015,0,2273
"St Maarten (Dutch Part)",7,2016,678,40005,NA,7249
"St Vincent-Grenad",7,2016,180,109643,NA,108
"Suriname",7,2016,45,558368,0,1453
"Trinidad-Tobago",7,2016,296,1364962,2,15562
"Turks-Caicos",7,2016,27,34900,NA,8737
"Uruguay",7,2016,NA,3444006,NA,5512
"Venezuela",7,2016,4379,31568179,9,45158
"Virgin Islands (GB)",7,2016,7,30661,2,542
"Virgin Islands (US)",7,2016,247,102951,1,12879
"Anguilla",8,2016,8,15000,0,96
"Antigua-Barbuda",8,2016,136,100963,1,2378
"Argentina",8,2016,8,43847430,NA,46853
"Aruba",8,2016,1,104822,NA,10024
"Bahamas",8,2016,119,391232,1,60139
"Barbados",8,2016,53,284996,2,7970
"Belize",8,2016,209,366954,0,1786
"Bermuda",8,2016,NA,65331,NA,3616
"Bolivia",8,2016,18,10887882,0,6928
"Bonaire, Saint Eustatius and Saba",8,2016,NA,25000,0,452
"Brazil",8,2016,2078,207652865,0,78235
"Canada",8,2016,NA,36286425,NA,134134
"Cayman Islands",8,2016,70,60765,1,12185
"Chile",8,2016,NA,17909754,NA,13668
"Colombia",8,2016,1333,48653419,0,73863
"Costa Rica",8,2016,1755,4857274,3,23582
"Cuba",8,2016,0,11475982,1,48735
"Curacao",8,2016,325,159999,0,5265
"Dominica",8,2016,65,73543,0,429
"Dominican Rep",8,2016,41,10648791,15,52463
"Ecuador",8,2016,271,16385068,0,30285
"El Salvador",8,2016,146,6344722,0,4729
"French Guiana",8,2016,242,283000,NA,186
"Grenada",8,2016,103,107317,2,2388
"Guadeloupe",8,2016,2130,450000,1,705
"Guatemala",8,2016,357,16582469,4,8578
"Guyana",8,2016,NA,773303,0,4389
"Haiti",8,2016,15,10847334,1,41048
